PLAYER,TEAM,AGE,GAMES PLAYED,WINS,LOSSES,MINUTES PLAYED,POINTS,FIELD GOALS MADE,FIELD GOALS ATTEMPTED,FIELD GOAL %,3 POINT FIELD GOALS MADE,3 POINT FIELD GOALS ATTEMPTED,3 POINT FIELD GOALS %,FREE THROWS MADE,FREE THROWS ATTEMPTED,FREE THROW %,OFFENSIVE REBOUNDS,DEFENSIVE REBOUNDS,REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,PERSONAL FOULS,FANTASY POINTS,DOUBLE DOUBLES,TRIPLE DOUBLES,PLUS MINUS
Reggie Jackson,DET,28,23,13,10,28.8,15.8,5.2,13.2,39.6,2,6.2,32.9,3.3,3.8,86.4,0.6,2.2,2.8,4.1,1.9,0.7,0.1,3,25.9,0,0,-2.3
Stanley Johnson,DET,22,21,12,9,23.3,9.8,3.7,9.1,40.1,1.3,4.6,28.9,1.1,1.4,79.3,0.9,3.5,4.4,1.2,1.5,1,0.2,2.1,19.3,0,0,-1.7
Zach Lofton,DET,26,1,1,0,3.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
Zaza Pachulia,DET,34,23,13,10,13,4.2,1.1,3,37.7,0,0,0,2,2.3,83.3,1.8,2.7,4.5,1.3,0.7,0.7,0.2,2.2,13.4,0,0,0.4
Alfonzo McKinnie,GSW,26,18,14,4,15.6,6.3,2.4,4.9,49.4,1,2.2,46.2,0.4,0.8,57.1,1.2,2.7,3.8,0.5,0.4,0.2,0.2,1.9,12.3,1,0,4.1
Andre Iguodala,GSW,34,25,16,9,23.4,4.8,1.8,4,46,0.6,1.7,33.3,0.6,1,62.5,0.7,2.5,3.2,3,1,0.8,0.6,1.4,16.5,0,0,2
Damian Jones,GSW,23,24,15,9,17.1,5.4,2.2,3.1,71.6,0,0,0,1,1.5,64.9,1.3,1.8,3.1,1.2,0.7,0.5,1,2.6,14.9,0,0,0.7
Damion Lee,GSW,26,13,7,6,13.6,5.1,1.8,4.1,43.4,0.9,2.2,41.4,0.6,0.8,80,0.2,1.9,2.1,0.2,0.5,0.6,0,1.3,9.2,0,0,-1.2
Draymond Green,GSW,28,13,10,3,30.5,6.9,2.8,6.2,44.4,0.5,2.1,22.2,0.9,1.4,66.7,0.8,6.7,7.5,7.2,3.3,1.8,0.8,3.1,31.4,1,0,6.6
Jacob Evans,GSW,21,17,12,5,4.5,0.4,0.2,0.9,18.8,0.1,0.2,25,0,0,0,0.1,0.4,0.4,0.6,0.2,0.1,0.1,0.6,1.9,0,0,-1.5
Jonas Jerebko,GSW,31,27,18,9,20,7.4,2.6,5.4,48.3,1.1,2.9,38.5,1.1,1.2,87.9,1.4,4.1,5.5,1.7,0.8,0.4,0.2,2.6,17.6,1,0,3.9
Jordan Bell,GSW,23,26,17,9,12.7,2.7,1.1,2.1,52.7,0,0,0,0.5,0.7,70.6,0.8,2,2.7,1.3,0.5,0.5,0.9,1.5,11.6,0,0,-0.7
Kevin Durant,GSW,30,27,18,9,35.8,29.1,10.1,19.9,51.1,1.6,4.7,33.3,7.2,7.8,92.9,0.4,7.4,7.8,6.3,3.5,0.9,1.1,2.1,50.5,9,1,7
Kevon Looney,GSW,22,27,18,9,19.9,6.2,2.6,4.1,62.5,0,0.1,0,1,1.6,63.6,2.4,2.9,5.3,1.9,0.8,0.3,0.8,2.7,18.1,1,0,4.1
Klay Thompson,GSW,28,27,18,9,34.5,22.6,9,19.6,45.7,2.8,7.9,35.4,1.9,2.4,79.7,0.3,3.8,4.1,1.9,2,1,0.7,2,33.5,0,0,2.6
Marcus Derrickson,GSW,22,4,3,1,4.6,1.3,0.5,1.5,33.3,0.3,0.8,33.3,0,0,0,0,0.5,0.5,0,0.5,0,0,1.3,1.4,0,0,-5.8
Quinn Cook,GSW,25,24,15,9,18.8,9.1,3.6,7.6,47,1.5,3.4,44.4,0.4,0.5,83.3,0.3,2.3,2.7,2,1,0.5,0.1,1.7,16,0,0,-1.1
Shaun Livingston,GSW,33,18,11,7,16.6,4.8,1.9,4.2,45.3,0,0.1,0,1.1,1.3,79.2,0.9,1.1,2,2.3,0.7,0.7,0.6,1.2,13.7,0,0,1.3
Stephen Curry,GSW,30,16,13,3,33.4,29.6,10,19.5,51.3,5.3,10.5,50,4.3,4.6,93.2,0.4,4.7,5.1,5.8,3.2,1.1,0.3,2.5,45.3,0,0,10.2
Carmelo Anthony,HOU,34,10,4,6,29.4,13.4,4.9,12.1,40.5,2.1,6.4,32.8,1.5,2.2,68.2,0.9,4.5,5.4,0.5,0.8,0.4,0.7,3.2,23.1,0,0,-6.3
Chris Paul,HOU,33,19,11,8,33.7,16.4,5.7,13.4,42.5,2.1,5.9,34.5,2.9,3.7,80,0.6,3.8,4.4,7.9,3.3,2.1,0.3,2.6,37.4,4,0,0.3
Clint Capela,HOU,24,24,11,13,34,17.8,7.8,12,65.1,0,0,0,2.2,3.6,60.5,5,6.8,11.7,1.6,1.6,0.5,2.2,2.7,40.5,17,0,-0.8
Danuel House Jr.,HOU,25,6,2,4,21.6,8.2,2.5,6.2,40.5,1,3.8,26.1,2.2,3,72.2,1,1.8,2.8,0.8,0.8,0.3,0.2,3,13.5,0,0,-2.8
Eric Gordon,HOU,29,21,9,12,32.5,15.9,5.4,14.8,36.5,2.7,8.7,31.1,2.4,3,79.7,0.3,2,2.4,1.8,1.4,0.6,0.5,2.1,23.4,0,0,1
Gary Clark,HOU,24,22,10,12,16.9,3.4,1.1,3.8,28.9,0.9,3.5,26.3,0.3,0.3,100,0.5,2.3,2.9,0.5,0.1,0.5,0.8,1.2,11.1,0,0,-0.1
Gerald Green,HOU,32,20,9,11,17.1,7.1,2.6,6.6,39.4,1.6,5.1,30.4,0.4,0.5,77.8,0.5,2,2.5,0.5,0.6,0.4,0.1,1.6,11.6,0,0,-0.1
Isaiah Hartenstein,HOU,20,21,10,11,8.2,2.1,0.8,1.6,48.5,0.1,0.2,40,0.5,0.7,78.6,0.8,0.8,1.6,0.5,0.6,0.2,0.4,2,6,0,0,2.1
James Ennis III,HOU,28,21,11,10,25.6,8.2,3,6.1,48.8,1.3,3.5,36.5,1,1.4,69,1,1.6,2.6,0.7,0.6,1,0.4,3.5,15.7,0,0,-1.9
James Harden,HOU,29,21,10,11,36.1,29.8,8.9,20.3,43.9,4,11,37,8,9.6,82.7,0.6,5,5.6,8.3,5.8,2.1,0.6,3.3,51.4,7,1,-0.2
Marquese Chriss,HOU,21,9,5,4,5.9,2.1,0.9,2.3,38.1,0.1,1,11.1,0.2,0.3,66.7,0.3,0.8,1.1,0.3,0.6,0.1,0.2,1,4.4,0,0,-2.6
Michael Carter-Williams,HOU,27,15,6,9,9.4,4.3,1.5,3.8,40.4,0.4,1.1,37.5,0.8,1.7,46.2,0.2,0.7,0.9,1.3,0.7,0.6,0.4,1.7,9.6,0,0,-4.1
Nene,HOU,36,3,1,2,12,5,2,3.7,54.5,0,0,0,1,1,100,1,2.3,3.3,1,0.3,0,0.3,2,11.2,0,0,-4.7
PJ Tucker,HOU,33,24,11,13,34.7,7.7,2.7,6.3,42.4,1.9,4.7,40.2,0.5,0.6,73.3,1.3,5,6.2,1.1,1,1.3,0.4,3,20.8,0,0,0.8
Vincent Edwards,HOU,22,1,1,0,3.7,3,1,2,50,1,2,50,0,0,0,1,0,1,0,0,0,0,0,4.2,0,0,-5
Zhou Qi,HOU,22,1,0,1,1,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2
Aaron Holiday,IND,22,15,10,5,12.6,6.4,2.4,5.5,43.9,0.7,2.8,26.2,0.9,1.1,81.3,0.1,2,2.1,1.5,0.8,0.5,0.3,1.3,12.6,0,0,2.9
Alize Johnson,IND,22,4,3,1,3.1,0.5,0.3,0.8,33.3,0,0,0,0,0.5,0,0,1,1,0,0,0,0.3,0.8,2.5,0,0,-1.3
Bojan Bogdanovic,IND,29,25,15,10,31.2,16.3,5.8,10.9,53.3,2.1,4.3,49.5,2.6,3.3,79.3,0.4,3.4,3.7,1.4,1.7,0.8,0,1.8,23.7,0,0,2.2
Cory Joseph,IND,27,25,15,10,26.4,7.6,3.2,6.8,47.3,1,2.2,42.9,0.2,0.5,50,0.4,3.1,3.4,3.8,1.3,1.4,0.2,1.6,21,0,0,5.1
Darren Collison,IND,31,25,15,10,27.7,9.3,3.5,8,43.3,0.8,2.2,35.2,1.6,2.1,75.5,0.5,2.2,2.6,5.1,1.5,1.7,0.1,1.7,24.1,2,0,0.4
Davon Reed,IND,23,3,1,2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,1.3
Domantas Sabonis,IND,22,23,13,10,24.9,14.3,5.6,8.8,63.9,0.2,0.3,83.3,2.9,3.8,75,2.3,7.8,10.1,3.3,2.6,0.6,0.7,3.1,32.4,10,0,3
Doug McDermott,IND,26,25,15,10,17.5,7.3,2.5,5,50.4,1.3,3,42.7,1,1.2,86.2,0.2,1.1,1.3,0.8,0.3,0.3,0.1,1.6,11.2,0,0,2.7
Edmond Sumner,IND,22,7,6,1,4,0.7,0.3,1,28.6,0.1,0.4,33.3,0,0.3,0,0.3,0.1,0.4,0.1,0.4,0.1,0,0.6,1.4,0,0,-2
Ike Anigbogu,IND,20,3,2,1,2.1,0,0,1,0,0,0,0,0,0,0,0.3,0.7,1,0.3,0.3,0,0.3,0,2.4,0,0,-0.7
Kyle O'Quinn,IND,28,14,8,6,7.3,3,1.3,2.8,46.2,0,0.3,0,0.4,0.4,100,0.9,1.9,2.8,1.4,0.6,0.2,0.6,1.3,10.2,1,0,1.1
Myles Turner,IND,22,24,15,9,27.2,11.5,4.7,9.7,48.7,0.3,1.5,22.9,1.8,2.5,71.7,1.3,5,6.2,1.6,1.6,0.4,2.7,2.7,29.1,4,0,1.7
TJ Leaf,IND,21,15,11,4,7.6,2.4,1.1,2.7,39,0.1,0.7,18.2,0.1,0.1,100,0.7,1.1,1.7,0.3,0.3,0.1,0.1,0.5,5.4,0,0,1.5
Thaddeus Young,IND,30,25,15,10,28.2,10.1,4.6,9.2,49.6,0.2,1.1,22.2,0.7,1.4,50,1.8,3.3,5.1,1.4,1.1,1.5,0.4,2.2,22.7,1,0,2.3
Tyreke Evans,IND,29,24,14,10,21.9,10.6,3.7,10,36.5,1.4,3.8,37,1.8,2.3,78.6,0.5,2.3,2.8,2.6,2.1,1.3,0.3,1.8,20.4,1,0,0.6
Victor Oladipo,IND,26,16,10,6,32.4,21.4,8.1,18.3,44,2.4,6.9,34.5,2.9,4.1,71.2,0.5,6.1,6.6,4.7,2.3,1.6,0.5,2,40.4,4,0,2.5
Avery Bradley,LAC,28,18,11,7,29.1,7.7,3.3,8.7,37.6,0.8,3,27.8,0.3,0.4,71.4,0.5,1.7,2.2,1.7,1.4,0.8,0.5,3,15.5,0,0,1.3
Boban Marjanovic,LAC,30,18,10,8,10.8,7.9,2.7,4.2,63.2,0,0.1,0,2.6,3.3,78,1.8,3,4.8,0.6,0.8,0.3,0.8,1.7,17,3,0,3.2
Danilo Gallinari,LAC,30,23,15,8,31.6,19.1,5.7,13.1,43.7,2.5,5.4,46,5.2,5.7,91.5,1,5,6,2.2,0.9,0.6,0.3,2.1,31.5,1,0,2.6
Jerome Robinson,LAC,21,8,5,3,5,2.9,1.1,2.3,50,0.6,1.1,55.6,0,0,0,0,0.4,0.4,0.1,0.1,0,0,0.8,3.4,0,0,2
Lou Williams,LAC,32,24,16,8,25.6,17.6,5.6,14.3,39.5,1.3,3.7,33.7,5.1,5.4,94.6,0.5,2,2.5,4.5,2.5,0.6,0.1,1,26.9,2,0,2.6
Luc Mbah a Moute,LAC,32,4,2,2,15.3,5,2,4.5,44.4,0.5,1.5,33.3,0.5,1.3,40,0.5,1.3,1.8,0.5,0.5,0.3,0.3,2,8.9,0,0,2.8
Marcin Gortat,LAC,34,20,13,7,17.4,5.5,2.3,4,56.3,0,0,0,1,1.2,82.6,1.4,4.4,5.7,1.5,1.1,0.1,0.6,2.3,15.5,0,0,1.9
Mike Scott,LAC,30,24,16,8,15.2,4.8,1.8,4.2,42.6,1.1,2.6,41.9,0.1,0.1,100,0.4,3.2,3.5,1,0.6,0.4,0.2,1.8,11.6,0,0,1.3
Milos Teodosic,LAC,31,11,7,4,8.8,2.6,0.9,1.7,52.6,0.5,1.3,42.9,0.3,0.4,75,0.2,1.1,1.3,2,0.9,0.3,0.1,1.7,7.3,0,0,2.9
Montrezl Harrell,LAC,24,24,16,8,25.8,16.1,6.1,9.4,64.6,0,0,0,4,6.3,62.9,2.3,4.7,7,1.5,1.4,1,1.6,2.8,33.1,7,0,0
Patrick Beverley,LAC,30,24,16,8,24,6.5,2.2,6.1,36.1,1.1,3.5,32.5,0.9,1.2,75.9,0.7,2.9,3.6,3.7,1.1,0.7,0.3,3.5,18.1,1,0,-1.9
Shai Gilgeous-Alexander,LAC,20,24,16,8,27.6,10.7,3.9,8.3,46.7,0.5,1.5,36.1,2.4,2.9,81.4,0.9,2.5,3.3,3,1.8,1,0.8,1.8,22.6,0,0,3.4
Sindarius Thornwell,LAC,24,10,8,2,7,1,0.3,0.7,42.9,0,0.2,0,0.4,0.4,100,0,1.3,1.3,0.5,0.5,0.1,0.2,1.6,3.7,0,0,0.4
Tobias Harris,LAC,26,24,16,8,35,21,8.1,15.9,50.8,2,4.7,41.6,2.9,3.4,85.2,0.7,7.8,8.5,2.3,1.9,0.5,0.5,2.1,35.8,8,0,5.3
Tyrone Wallace,LAC,24,15,10,5,6.4,2.9,1.3,2.7,47.5,0,0.3,0,0.4,0.9,42.9,0.1,0.7,0.9,0.3,0.2,0.1,0,0.7,4.6,0,0,0.3
Brandon Ingram,LAL,21,20,13,7,30.7,15.2,5.9,12.6,47,0.6,1.7,32.4,2.9,4.6,62.6,0.7,3.3,4,2.2,2.3,0.7,0.7,2.8,25.2,0,0,1.9
Isaac Bonga,LAL,19,1,0,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivica Zubac,LAL,21,7,4,3,7.2,2,0.7,2,35.7,0,0,0,0.6,0.6,100,1.4,1.7,3.1,0.3,0.6,0.1,0.3,1.7,6.9,0,0,0.9
JaVale McGee,LAL,30,25,15,10,23.9,12,5.3,8.4,63.3,0,0.2,25,1.3,1.8,71.1,2.5,4,6.6,0.9,1.6,0.8,2.6,2.6,29.8,2,0,-0.9
Johnathan Williams,LAL,23,6,3,3,14.2,3.8,1.8,3.2,57.9,0,0,0,0.2,0.8,20,1.8,1.7,3.5,0.7,0.3,0.2,0.5,3.2,10.7,0,0,-1.7
Josh Hart,LAL,23,25,15,10,24.4,8.9,3.2,7,45.1,1.7,4.4,37.8,0.9,1.3,68.8,0.4,2.8,3.2,1.2,0.8,1.1,0.6,2.2,18.6,1,0,3.2
Kentavious Caldwell-Pope,LAL,25,25,15,10,21.5,8.2,2.5,6.6,37.6,1.2,3.8,33,2,2.2,92.6,0.4,2,2.4,0.5,0.5,0.8,0.2,1.5,14.2,0,0,-0.7
Kyle Kuzma,LAL,23,25,15,10,31.4,17.2,6.8,14.3,47.2,1.7,5.5,30.4,2,2.8,72.9,0.6,5,5.6,1.9,1.4,0.6,0.5,2.2,28.8,1,0,1
Lance Stephenson,LAL,28,25,15,10,14.3,6.9,2.7,6.4,42.5,0.9,2.5,35.5,0.6,0.7,83.3,0.5,2.6,3.2,1.8,1.2,0.7,0.1,1.4,14.6,0,0,-0.9
LeBron James,LAL,33,25,15,10,34.9,28.7,10.5,20.1,52.2,2.2,6,36.9,5.5,7.8,70.8,1,6.7,7.6,6.8,3.4,1.3,0.8,1.8,51.1,11,1,1.4
Lonzo Ball,LAL,21,25,15,10,28.1,8.4,3.3,8.4,39,1.4,4.1,33.3,0.5,0.8,57.1,1,4.2,5.3,4.9,2,1.3,0.2,2.3,24.6,1,0,-0.5
Michael Beasley,LAL,29,10,5,5,7.1,4.4,1.9,3.7,51.4,0.1,0.4,25,0.5,0.6,83.3,0.3,1.1,1.4,0.3,0.7,0.2,0,1.5,6.4,0,0,-1.4
Moritz Wagner,LAL,21,4,2,2,4.3,2.5,0.8,2.8,27.3,0.5,1.5,33.3,0.5,0.5,100,0,1,1,0.8,0.5,0.3,0,1,5.1,0,0,-2.5
Rajon Rondo,LAL,32,11,6,5,25.2,8.5,3.6,8,45.5,0.8,1.9,42.9,0.4,0.7,50,0.9,3.6,4.5,6.5,2.3,1.2,0,2.3,24.9,3,0,2.1
Svi Mykhailiuk,LAL,21,14,7,7,9.3,2.5,0.8,2.7,28.9,0.6,1.8,32,0.4,0.7,50,0.3,0.3,0.6,0.9,0.6,0.2,0,0.6,4.5,0,0,-0.5
Tyson Chandler,LAL,36,22,12,10,18.3,3.6,1.2,2.1,58.7,0,0,0,1.2,1.9,63.4,1.9,4.8,6.7,0.6,1,0.5,0.3,2.7,13.9,2,0,0.5
Chandler Parsons,MEM,30,3,2,1,15.4,5.7,2.3,5.7,41.2,1,3.3,30,0,0,0,0.3,1,1.3,0.7,0.7,0.3,0.3,2.3,9.6,0,0,-3.7
Dillon Brooks,MEM,22,11,7,4,18.9,6.8,2.5,6,40.9,0.6,1.7,36.8,1.3,1.6,77.8,0.5,1.5,2.1,0.9,0.8,0.7,0.4,2.7,13.1,0,0,-0.2
Garrett Temple,MEM,32,24,15,9,32.3,10.7,3.7,8.3,44.2,1.7,4.3,39.2,1.7,2,81.6,0.4,2.9,3.3,1.4,1.3,1.2,0.3,3.2,19.9,0,0,2.5
Ivan Rabb,MEM,21,9,6,3,6.4,2.1,0.9,1.4,61.5,0,0.1,0,0.3,0.6,60,0.4,1.7,2.1,0.7,0.9,0.1,0.1,1.3,5.4,0,0,-0.1
JaMychal Green,MEM,28,12,7,5,23.4,11.7,4.7,9.2,50.9,0.9,2.3,40.7,1.4,1.8,81,2.3,4.8,7.1,0.8,1.9,1.3,0.6,3.2,24.9,1,0,-0.7
Jaren Jackson Jr.,MEM,19,24,15,9,25.1,13.4,5,9.8,51.5,0.8,2.5,33.9,2.5,3.2,77.9,1.3,3.2,4.4,1.3,1.6,0.9,2,4.1,27.6,1,0,-0.8
Joakim Noah,MEM,33,2,2,0,14.8,8.5,3.5,6.5,53.8,0,0,0,1.5,2,75,1.5,2.5,4,1.5,1.5,0.5,0,2.5,15.6,0,0,5.5
Kyle Anderson,MEM,25,24,15,9,30.1,6.8,3,6,49.7,0.2,0.6,28.6,0.7,1.3,53.1,1.3,5.2,6.5,3.2,1.2,1.3,0.8,2.4,24.4,1,0,-0.2
MarShon Brooks,MEM,29,21,14,7,14.2,7.1,2.8,6.4,43.7,0.6,2,31.7,0.9,1.2,76,0.5,1.2,1.7,1,0.8,0.3,0.2,1.1,11.2,0,0,0.2
Marc Gasol,MEM,33,24,15,9,35.4,17.3,6,13.3,45.3,1.8,4.5,40.2,3.5,4.7,73.5,1.3,8,9.2,4,1.8,1.5,1.4,2.8,41.2,11,0,3.4
Mike Conley,MEM,31,24,15,9,34.2,20.6,6.9,16.5,41.7,2.2,6.3,34.2,4.7,5.8,81.9,0.5,3,3.5,6.7,2,1.1,0.4,2.2,37.5,4,0,3.6
Omri Casspi,MEM,30,18,12,6,12.4,5.1,1.8,3.4,54.1,0.3,0.9,37.5,1.1,1.9,58.8,0.4,2.7,3.1,0.8,0.4,0.4,0.2,0.9,11.3,0,0,3.1
Shelvin Mack,MEM,28,24,15,9,25.3,9.1,3.4,7.7,44.3,1.1,2.8,40.9,1.1,1.7,67.5,0.3,1.9,2.1,3.5,1.3,1,0.1,1.6,19,0,0,0.4
Wayne Selden,MEM,24,20,12,8,16.2,5.8,2.2,5.4,41.1,0.8,2.2,34.1,0.7,0.8,86.7,0.4,0.9,1.3,1.3,0.9,0.4,0.2,1.6,10,0,0,-2.2
Yuta Watanabe,MEM,24,2,2,0,6.1,1,0,0.5,0,0,0.5,0,1,1,100,0,2,2,0,0.5,0,0.5,0,4.4,0,0,-0.5
Bam Adebayo,MIA,21,24,10,14,19.6,8.1,2.8,5.2,54.8,0,0.1,0,2.5,3.4,72.8,2.2,4.8,7,1.3,1.2,0.7,0.9,2.4,21.9,3,0,1.3
Derrick Jones Jr.,MIA,21,14,4,10,13.8,4.9,1.9,4.7,39.4,0.4,1.3,33.3,0.7,1.1,66.7,1.1,1.6,2.6,0.5,0.8,0.3,0.4,1.8,10.1,0,0,-2.9
Duncan Robinson,MIA,24,4,2,2,7.3,1.5,0.5,1.5,33.3,0.5,1.5,33.3,0,0,0,0,1.3,1.3,0,0,0.3,0,0.3,3.8,0,0,-0.3
Dwyane Wade,MIA,36,17,8,9,25.3,14.3,5.3,12.3,43.1,1.5,4.1,36.2,2.2,3.2,69.1,1.1,2.4,3.4,3.5,2.4,0.5,0.6,1.9,24.5,0,0,-0.2
Goran Dragic,MIA,32,13,6,7,30,15.9,5.7,13.7,41.6,1.6,5,32.3,2.9,3.8,76,0.6,2.5,3.2,5.1,2.5,0.8,0.3,2.3,28,1,0,2.9
Hassan Whiteside,MIA,29,22,8,14,26.9,13.5,5.6,10.7,52.3,0.1,0.5,16.7,2.3,4.8,47.2,4.1,9.5,13.7,0.8,1.7,0.6,2.9,3.1,40.1,15,0,-2.3
James Johnson,MIA,31,9,4,5,19.8,7.2,2.7,7.9,33.8,0.9,2.9,30.8,1,1.1,90,0.6,1.7,2.2,2.6,1.1,0.7,0.2,2.3,15.3,0,0,-5.3
Josh Richardson,MIA,25,24,10,14,35.2,19.2,6.6,16.3,40.8,2.7,6.8,39.9,3.2,3.8,84.6,0.9,3,4,3.3,2.1,1.3,0.6,3.2,32.5,0,0,1.5
Justise Winslow,MIA,22,20,8,12,27.9,9.9,3.6,9.3,38.7,1.1,2.9,38.6,1.6,2.3,69.6,1.1,4.1,5.2,3.4,2.2,0.9,0.5,2.5,23.1,2,0,0.5
Kelly Olynyk,MIA,27,23,10,13,19.3,9,2.8,6.1,46.1,1.5,4.1,35.8,1.9,2.5,77.2,0.8,3,3.9,1.9,1.3,0.7,0.4,2.3,18.5,0,0,1.9
Rodney McGruder,MIA,27,24,10,14,31.7,11.5,4.4,10,44.2,1.6,4.2,38,1.1,1.5,74.3,1.1,3.8,4.8,2.9,1.4,0.9,0.2,2.7,23.4,2,0,-1.6
Tyler Johnson,MIA,26,18,7,11,26.1,11.1,4.1,9.2,44.6,1.3,3.9,34.3,1.5,2.1,71.1,0.6,2.7,3.2,2.3,1.4,0.9,0.6,1.9,21.6,0,0,-1.1
Udonis Haslem,MIA,38,2,2,0,3,1,0.5,2,25,0,1,0,0,0,0,0,0.5,0.5,0,1,0,0,1,0.6,0,0,-3
Wayne Ellington,MIA,31,16,6,10,26.3,10,3.3,8.8,37.1,2.8,7.4,38.1,0.7,0.8,84.6,0.4,2.2,2.6,1.6,0.8,1.3,0.2,2,19.2,0,0,-6.1
Brook Lopez,MIL,30,24,16,8,27.6,11.5,4,9.5,42.5,2.4,6.7,36,1,1.2,82.8,0.5,3.8,4.3,1,1,0.4,1.8,2.4,23.6,0,0,9
Christian Wood,MIL,23,6,6,0,6.1,4.2,1.5,2.8,52.9,0.3,0.7,50,0.8,1,83.3,0.7,2,2.7,0.3,0.3,0,0,0.3,7.5,0,0,-0.8
D.J. Wilson,MIL,22,1,1,0,5.6,7,2,3,66.7,2,3,66.7,1,2,50,0,0,0,0,0,1,0,3,10,0,0,0
Donte DiVincenzo,MIL,21,18,12,6,17.1,5.6,2.1,5.2,40.9,0.9,3.4,26.2,0.5,0.6,81.8,0.6,2.1,2.7,1.4,0.8,0.5,0.1,1.6,11.9,0,0,4.4
Eric Bledsoe,MIL,28,24,16,8,29.6,16,6,11.7,51.8,1.8,4.8,36.2,2.1,2.9,72.9,1.1,3.2,4.3,5.8,2.3,1.5,0.5,2.4,33.7,2,0,7.5
Ersan Ilyasova,MIL,31,20,14,6,20.5,7.3,2.8,6,45.8,0.9,2.6,33.3,0.9,1.1,81.8,1.5,4.2,5.7,1.3,1,0.5,0.2,3,17.1,1,0,2.7
George Hill,MIL,32,13,2,11,26.5,10.8,4.2,8.2,51.4,1,2.2,46.4,1.3,1.5,85,0.9,1.2,2.1,2.8,1.5,0.9,0.1,2.7,18.9,0,0,-3.5
Giannis Antetokounmpo,MIL,24,23,15,8,33.8,26.8,10.1,17.6,57.7,0.3,2.4,10.7,6.3,9,69.2,2.6,10.4,13,6,4.3,1.5,1.3,3.2,55.6,17,2,9.7
Jason Smith,MIL,32,12,4,8,10.8,3.7,1.3,3.1,40.5,0.3,0.8,40,0.8,1,83.3,0.9,2.2,3.1,1,0.6,0.1,0.4,1.8,9.8,0,0,-1.2
Jaylen Morris,MIL,23,3,3,0,6.6,3,1.3,2.3,57.1,0.3,0.3,100,0,0,0,0,1,1,0.7,0.3,0.3,0,0.3,5.9,0,0,2.7
Khris Middleton,MIL,27,23,15,8,30.6,18.1,6,13.8,43.7,3,7.3,40.7,3,3.5,86.4,0.4,5.2,5.7,3.8,2.3,1.3,0.1,2.7,32.5,1,0,7.1
Malcolm Brogdon,MIL,25,24,16,8,30.2,15.3,5.9,11.3,51.8,1.8,3.9,47.3,1.8,1.8,97.7,1,3.5,4.5,3.4,1.7,0.6,0.2,1.8,26.5,0,0,4
Pat Connaughton,MIL,25,21,13,8,19.4,6.8,2.5,5.9,43.1,1,3.5,30.1,0.7,1,70,1,3,4.1,1.9,0.5,0.4,0.6,1.3,17.2,0,0,3.5
Sterling Brown,MIL,23,16,12,4,10.2,3.9,1.5,3.1,49,0.5,1.6,32,0.4,0.5,75,0.5,1.4,1.9,0.7,0.5,0.2,0.1,1.1,7.4,0,0,-2.1
Thon Maker,MIL,21,16,11,5,12.4,5.1,1.8,4.6,39.7,1,3,33.3,0.5,1,50,0.5,2.3,2.8,0.6,0.3,0.2,0.6,1.6,11.3,0,0,1.2
Tony Snell,MIL,27,24,16,8,16.6,6.2,2.1,4.9,43.6,1.1,3,36.6,0.9,1,91.3,0.4,1.5,1.9,0.7,0.3,0.4,0.2,1.1,11,0,0,4.7
Andrew Wiggins,MIN,23,21,12,9,32.8,15.6,5.9,15.2,38.9,1.9,5.1,37.4,1.9,2.7,71.4,0.7,3,3.7,2.3,1.7,1.3,0.7,2,27.9,0,0,1.4
Anthony Tolliver,MIN,33,17,7,10,16.2,4.8,1.5,3.5,43.3,1.3,3.2,40.7,0.4,0.7,58.3,0.4,2,2.4,0.7,0.6,0.4,0.5,1.7,10.6,0,0,-2.5
C.J. Williams,MIN,28,6,2,4,8.9,1.7,0.8,2.3,35.7,0,1,0,0,0,0,0,0.3,0.3,0.5,0.5,0.2,0,1.7,2.8,0,0,-6.2
Dario Saric,MIN,24,24,16,8,26.6,10.7,3.7,9.5,39.2,1.5,4.7,31.9,1.8,2,89.4,1.7,4.4,6,1.5,1.5,0.4,0.2,2.6,20.6,2,0,1.3
Derrick Rose,MIN,30,23,12,11,29.2,18.3,7,14,50,1.7,3.5,47.5,2.7,3.2,83.6,0.7,2.3,3,4.3,1.7,0.5,0.2,1.1,28.8,0,0,3
Gorgui Dieng,MIN,28,25,13,12,13.5,5.2,2,4.4,45,0.2,0.8,21.1,1,1.2,83.9,0.9,3.1,4,0.8,0.9,0.4,0.6,1.8,13.4,0,0,-0.3
James Nunnally,MIN,28,8,4,4,5.8,2,0.6,1.9,33.3,0.3,1.1,22.2,0.5,0.5,100,0,0.4,0.4,0.6,0.1,0.1,0,0.4,3.6,0,0,-1
Jared Terrell,MIN,23,1,0,1,21.3,4,1,8,12.5,1,2,50,1,2,50,0,1,1,1,2,2,1,2,13.7,0,0,-10
